animal_id	breed_primary_id	breed_secondary	breed_secondary_id	age_group	age_group_id	gender	gender_id	location	location_id	source	source_id	surrender_reason	surrender_reason_id	color_code	color_code_id	Behavior Consult	OK with Dogs	House Trained	Part of a Bonded Pair	Special Fee	No Children	No Cats	No Dogs	Longterm Resident	Employee Pick	Hidden Gem	Medical Consult	Special Needs	OK with Cats	Reduced Fee	Adoption Fee Waived	Consult Required	Training Class Required	intake_date	return	name	breed_primary	date_of_birth	departure	adoption_time
continuous	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	continuous	discrete	continuous	discrete	discrete	discrete	continuous	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	time	discrete	string	string	string	string	string
																																				meta	meta	meta	meta	meta
616912.0	8283.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Returns	23.0	NULL	NULL	orange	2.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2019-09-24 00:00:00	0	Bella	Olde English Bulldogge	2017-08-19	2019-10-09	15
618393.0	4287.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Abandoned by original owner	240	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-08-25 00:00:00	0	Panda	Chihuahua	2009-08-27	2019-09-30	36
618394.0	4287.0	Terrier	4659	Senior	4	Male	1	San Diego Campus - 5500	53.0	Returns	23.0	Behavior/Temperament of resident pet	215	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-27 00:00:00	0	Ty	Chihuahua	2010-08-25	2019-10-01	4
619281.0	4374.0	NULL	NULL	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	ACO Impound	32.0	NULL	NULL	blue	1.0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2019-08-29 00:00:00	0	Beauty	Rottweiler	2013-08-30	2019-10-26	58
620387.0	4659.0	Chihuahua	4287	Mature Adult	5	Female	2	Escondido Campus	64.0	Owner Surrender	2.0	Other	268	purple	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-21 00:00:00	0	Ivy	Terrier	2018-09-21	2019-09-30	9
620720.0	4659.0	NULL	NULL	Senior	4	Male	1	Oceanside Campus - Dogs	56.0	Transfer In	18.0	NULL	NULL	blue	1.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-04 00:00:00	0	Jerry	Terrier	2012-09-04	2019-10-12	38
620918.0	4256.0	NULL	NULL	Mature Adult	5	Male	1	San Diego Campus - 5500	53.0	ACO Impound	32.0	NULL	NULL	purple	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-05 00:00:00	0	Cayden	Australian Cattle Dog / Blue Heeler	2014-09-05	2019-09-30	25
621090.0	4287.0	Dachshund	4297	Senior	4	Female	2	Oceanside Campus - Dogs	56.0	Stray	14.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-05 00:00:00	0	Cinnamon	Chihuahua	2007-09-05	2019-10-03	28
621157.0	4330.0	NULL	NULL	Senior	4	Female	2	Oceanside Campus - Dogs	56.0	Stray	14.0	NULL	NULL	blue	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-05 00:00:00	0	Anastasia	Jack Russell Terrier / Parson Russell Terrier	2010-09-05	2019-10-05	30
621401.0	4386.0	Shepherd	8221	Mature Adult	5	Female	2	San Diego Campus - 5500	53.0	Owner Surrender	2.0	Other	268	purple	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2019-09-06 00:00:00	0	Amy	Siberian Husky	2013-09-06	2019-10-29	53
